customer_id,channel,female,married,children,NumChildren,Population_K,HouseHolds, HHAveSize ,pop_0_25,pop_26_45,pop_46_65,pop_65_plus,HHIncomeMed,WhtCollarOcc,BluCollarOcc,cust_age
C0105647941,direct,0,0,1,1,925,162, 2.2 ,32,29,23,16,25809,66,34,86
C0108520144,direct,1,1,0,2,774,193, 2.2 ,32,30,22,16,22300,54,46,26
C0104780938,direct,1,0,0,0,861,198, 2.5 ,31,29,22,18,81966,25,75,59
C0103398178,organic_search,1,1,0,5,824,462, 2.0 ,32,30,22,16,30357,53,47,80
C0104769362,display_ad,0,1,0,3,736,264, 2.4 ,31,30,23,16,67235,39,61,34
C0103756017,direct,0,1,1,3,841,394, 2.4 ,32,30,23,15,85582,68,32,31
C0107941743,organic_search,0,1,0,3,567,447, 2.2 ,32,30,22,16,31375,52,48,39
C0103731911,direct,0,0,1,5,182,224, 2.2 ,31,29,23,17,27979,52,48,76
C0105588896,organic_search,1,1,0,3,392,374, 2.3 ,32,30,23,15,78080,40,60,88
C0106292641,display_ad,0,0,0,4,574,419, 2.5 ,32,29,23,16,73275,33,67,81
C0108194221,direct,1,0,1,5,832,207, 2.5 ,31,30,22,17,84335,21,79,61
C0104833710,direct,0,0,0,1,713,277, 2.5 ,31,29,23,17,54812,24,76,24
C0103208282,organic_search,1,1,1,2,509,183, 2.1 ,31,30,23,16,54076,21,79,20
C0107147077,organic_search,1,0,1,4,268,457, 2.3 ,31,29,22,18,46439,26,74,48
C0103721113,direct,1,1,0,2,441,262, 2.2 ,31,29,22,18,23702,46,54,72
C0104629414,direct,0,1,1,4,400,288, 2.1 ,32,30,23,15,76071,68,32,60
C0107250079,organic_search,0,0,1,2,446,397, 2.1 ,31,30,23,16,40330,29,71,22
C0102289137,organic_search,0,0,1,3,984,266, 2.3 ,31,30,23,16,40227,40,60,63
C0106416749,direct,0,0,0,3,347,409, 2.4 ,32,30,23,15,20698,65,35,84
C0102712653,organic_search,0,1,1,3,904,80, 2.3 ,31,29,23,17,40802,56,44,22
C0106689150,em,1,0,0,4,800,312, 2.4 ,31,29,23,17,53930,61,39,92
C0106797077,dm,0,1,1,1,1101,422, 2.1 ,32,30,23,15,84888,25,75,68
C0105898332,direct,0,1,1,2,1077,406, 2.4 ,32,30,23,15,73316,34,66,47
C0105695807,em,0,1,1,2,1077,298, 2.5 ,31,29,22,18,76084,36,64,40
C0105902595,direct,0,0,0,5,957,240, 2.5 ,32,30,23,15,34733,56,44,22
C0107452119,direct,0,1,1,1,364,281, 2.0 ,31,29,23,17,16663,45,55,29
C0104339905,organic_search,1,0,0,4,454,452, 2.4 ,32,30,22,16,66000,68,32,92
C0103032656,direct,0,1,1,5,646,269, 2.0 ,31,30,23,16,83824,33,67,21
C0103620131,display_ad,0,0,1,0,223,322, 2.6 ,32,30,23,15,77322,35,65,62
C0102217434,display_ad,0,1,0,4,1015,92, 2.3 ,31,30,23,16,18819,61,39,80
C0103719842,direct,1,1,1,0,947,140, 2.0 ,31,29,23,17,61575,34,66,40
C0104707328,organic_search,1,1,1,4,1035,272, 2.1 ,32,30,23,15,71842,62,38,87
C0107197289,organic_search,1,0,1,0,387,174, 2.3 ,31,29,23,17,39336,21,79,65
C0103632305,dm,0,0,0,3,1103,126, 2.3 ,31,29,22,18,20161,30,70,32
C0104810686,direct,0,0,1,0,386,277, 2.1 ,32,29,23,16,24468,37,63,65
C0104529932,organic_search,0,0,0,1,689,335, 2.2 ,32,30,22,16,55725,48,52,90
C0108648697,em,0,0,0,1,587,269, 2.5 ,32,30,22,16,81691,57,43,79
C0107512883,em,1,1,1,4,526,431, 2.2 ,32,29,22,17,78196,24,76,19
C0108701085,direct,1,1,0,4,943,258, 2.2 ,31,29,23,17,55351,49,51,75
C0107811791,display_ad,1,1,0,0,716,363, 2.1 ,32,30,22,16,37275,62,38,18
C0107843686,direct,1,1,0,0,1035,253, 2.1 ,31,30,23,16,42563,37,63,77
C0106914102,em,1,0,1,3,762,439, 2.5 ,31,29,22,18,46725,50,50,67
C0107333531,direct,1,0,1,1,505,160, 2.6 ,32,29,22,17,38681,20,80,33
C0106560842,direct,0,1,0,5,869,121, 2.4 ,32,30,23,15,35657,49,51,47
C0108814620,direct,0,1,1,0,961,97, 2.6 ,31,29,22,18,56078,60,40,35
C0107404107,direct,1,1,1,0,302,178, 2.3 ,31,29,23,17,45100,51,49,53
C0102079048,em,0,1,1,0,1050,288, 2.3 ,31,30,23,16,58164,54,46,75
C0107475840,direct,1,1,0,2,309,454, 2.1 ,32,29,22,17,27717,68,32,35
C0107003943,organic_search,0,1,1,5,380,398, 2.3 ,31,29,23,17,20130,39,61,37
C0103900997,direct,0,1,0,3,788,106, 2.2 ,32,29,23,16,74356,60,40,18
C0102433439,direct,0,1,1,1,821,413, 2.6 ,31,29,22,18,46227,54,46,19
C0107060099,direct,1,1,1,3,367,325, 2.3 ,31,30,23,16,16417,41,59,73
C0108265310,em,1,0,1,1,331,187, 2.2 ,32,29,22,17,86516,32,68,48
C0102686136,direct,0,1,1,2,817,477, 2.4 ,32,30,23,15,50273,58,42,19
C0104240171,em,1,0,0,5,277,350, 2.6 ,32,29,22,17,84448,21,79,21
C0103096589,direct,0,1,0,5,288,369, 2.1 ,31,30,22,17,87139,61,39,39
C0106197254,organic_search,1,0,1,0,197,141, 2.6 ,31,29,22,18,18134,28,72,38
C0108215163,organic_search,1,1,0,5,1021,79, 2.4 ,32,30,22,16,65905,58,42,67
C0102513823,organic_search,1,0,1,1,634,80, 2.5 ,32,29,22,17,61852,52,48,78
C0107845591,em,1,1,1,4,398,221, 2.4 ,31,30,23,16,41109,23,77,33
C0104368417,display_ad,0,0,1,0,898,305, 2.2 ,31,29,23,17,81435,60,40,39
C0102936065,display_ad,0,0,0,1,192,377, 2.6 ,32,29,23,16,86375,65,35,31
C0102303235,em,1,1,1,4,783,99, 2.1 ,32,29,23,16,61141,55,45,79
C0104093335,display_ad,0,0,1,0,556,97, 2.2 ,31,29,23,17,53388,56,44,27
C0103539388,direct,0,0,1,2,331,144, 2.2 ,31,30,23,16,52502,47,53,29
C0103697785,em,0,1,1,3,963,369, 2.4 ,32,29,23,16,68790,29,71,90
C0103520602,organic_search,1,1,1,4,1012,411, 2.2 ,32,29,23,16,69077,64,36,55
C0104677913,organic_search,1,1,0,3,530,104, 2.6 ,31,29,22,18,66624,41,59,41
C0102898486,organic_search,1,1,0,5,457,478, 2.4 ,31,30,22,17,42396,43,57,66
C0105707116,dm,1,1,0,2,992,273, 2.1 ,32,29,22,17,50418,27,73,39
C0103040786,direct,1,0,0,0,1043,113, 2.0 ,31,30,22,17,32703,21,79,36
C0107320017,direct,0,1,1,0,847,336, 2.0 ,32,29,22,17,84796,21,79,82
C0102960943,organic_search,1,0,0,4,776,354, 2.5 ,32,29,23,16,35974,26,74,56
