"","test_group","tot_sls","female","married","children","NumChildren","Population_K","HouseHolds","HHAveSize","pop_0_25","pop_26_45","pop_46_65","pop_65_plus","HHIncomeMed","WhtCollarOcc","cust_age","em_y","cluster"
"1",1,14.45,1,0,0,0,516,222,2.3,32,29,23,15,57285,25,33,0,4
"2",1,66.95,1,0,0,0,666,283,2.4,32,29,23,14,44359,47,42,0,3
"3",1,18.64,0,0,0,0,998,432,2.3,32,29,23,15,42710,41,32,0,3
"4",1,27.27,1,1,0,7,660,290,2.3,31,30,23,14,68869,31,42,0,1
"5",1,5.85,0,1,0,1,629,252,2.5,31,30,22,15,62090,29,33,0,1
"6",1,66.38,1,0,0,0,834,370,2.3,32,30,22,14,80016,19,35,0,2
"7",1,52.7,1,0,0,0,483,207,2.3,31,30,23,15,41087,37,43,0,3
"8",1,160.74,1,0,0,0,618,265,2.3,32,29,22,15,82442,30,28,0,2
"9",1,239.85,0,0,0,1,715,304,2.4,32,29,23,15,84913,23,37,0,2
"10",1,56.58,1,0,0,0,727,314,2.3,32,29,23,15,47999,38,33,0,4
"11",1,41.81,1,1,0,3,705,300,2.4,32,30,23,14,87109,31,40,0,2
"12",1,61.92,0,0,0,3,875,373,2.3,31,30,23,14,52551,35,40,0,4
"13",1,68.39,0,1,0,1,473,194,2.4,31,29,23,15,85481,43,44,0,2
"14",1,86.16,0,0,0,0,629,267,2.4,32,30,22,15,55263,33,42,0,4
"15",1,198,1,0,0,0,885,380,2.3,32,29,23,15,85349,25,44,0,2
"16",1,25.83,0,1,0,0,652,288,2.3,32,29,23,15,63825,17,38,0,1
"17",1,76.61,0,1,0,0,473,194,2.4,31,29,23,15,85481,43,40,0,2
"18",1,8.67,0,0,0,0,787,332,2.4,32,30,22,15,66900,32,35,0,1
"19",1,115.25,0,0,0,0,793,350,2.3,32,29,23,14,53165,37,44,0,4
"20",1,92.45,1,1,0,3,754,331,2.3,32,30,22,15,48763,24,44,0,4
"21",1,230.67,0,0,0,0,672,278,2.4,31,30,23,15,56668,43,44,0,4
"22",1,4.01,1,0,0,0,631,265,2.4,31,29,23,15,42147,31,44,0,3
"23",1,79.29,1,0,0,0,727,302,2.4,32,29,23,14,62362,43,44,0,1
"24",1,28.65,1,1,0,7,638,271,2.4,32,30,23,15,66741,61,43,0,1
"25",1,2.24,1,0,0,0,783,339,2.3,32,30,23,15,51316,34,33,0,4
"26",1,60.83,0,0,0,0,774,332,2.3,32,30,22,15,80701,28,42,0,2
"27",1,89.65,1,0,0,1,633,266,2.4,32,30,22,15,56713,36,44,0,4
"28",1,120.57,1,0,0,3,931,401,2.3,31,30,23,14,82108,28,43,0,2
"29",1,68.6,1,0,0,0,666,283,2.4,32,29,23,14,44359,47,42,0,3
"30",1,91.46,1,0,0,0,719,300,2.4,32,30,22,15,76853,41,44,0,2
"31",1,36.65,1,0,0,0,708,303,2.3,32,29,22,15,40668,36,40,0,3
"32",1,20.87,0,0,0,0,703,299,2.4,32,29,22,14,51049,29,41,0,4
"33",1,263.94,1,0,0,0,723,307,2.4,32,29,23,15,68022,27,38,0,1
"34",1,12.96,1,1,0,0,648,279,2.3,32,30,23,15,71924,34,36,0,1
"35",1,78.14,1,0,0,0,668,276,2.4,31,30,23,15,41432,36,37,0,3
"36",1,40.19,1,0,0,0,520,226,2.3,32,30,22,15,43725,41,42,0,3
"37",1,38.36,1,1,0,0,580,246,2.4,31,30,23,15,64705,35,31,0,1
"38",1,85.05,1,1,0,2,827,349,2.4,32,29,23,14,43794,31,42,0,3
"39",1,124.24,1,0,0,0,561,242,2.3,31,30,22,15,47223,31,35,0,3
"40",1,78.85,1,0,0,4,781,329,2.4,31,29,23,15,69636,30,34,0,1
"41",1,72.75,0,0,0,1,708,307,2.3,31,30,23,15,67042,20,41,0,1
"42",1,90.09,1,1,0,0,442,193,2.3,32,30,22,14,59978,32,32,0,4
"43",1,82.76,1,0,0,2,784,347,2.3,31,30,23,14,69568,36,44,0,1
"44",1,1.66,1,1,0,0,584,258,2.3,32,30,22,15,84215,42,38,0,2
"45",1,36.53,1,1,0,2,393,170,2.3,32,29,23,15,87748,34,36,0,2
"46",1,68.63,1,0,0,0,455,199,2.3,32,30,22,14,83728,26,43,0,2
"47",1,28.09,0,0,0,5,573,247,2.3,32,30,22,15,71461,29,27,0,1
"48",1,44.72,0,1,0,4,396,167,2.4,32,29,23,15,78112,46,39,0,2
"49",1,167.89,0,1,0,0,727,314,2.3,32,29,23,15,47999,38,33,0,4
"50",1,57.42,1,1,0,3,705,300,2.4,32,30,23,14,87109,31,40,0,2
"51",1,32.86,1,0,0,0,651,277,2.4,31,30,23,14,54871,20,35,0,4
"52",1,38.89,0,0,0,1,841,332,2.5,31,30,23,15,76623,56,44,0,2
"53",1,42.7,0,0,0,1,694,286,2.4,32,29,23,15,48696,35,38,0,4
"54",1,25.39,0,1,0,0,635,252,2.5,31,29,22,15,58320,32,37,0,4
"55",1,120.5,1,1,0,1,363,153,2.4,31,30,23,14,68050,19,36,0,1
"56",1,61.34,1,1,0,0,541,237,2.3,32,30,23,14,78798,35,44,0,2
"57",1,17.5,1,0,0,0,667,273,2.4,32,29,23,15,42567,45,43,0,3
"58",1,266.76,1,0,0,1,977,416,2.3,31,30,22,15,74959,33,31,0,2
"59",1,235.49,1,0,0,1,729,316,2.3,31,30,22,15,56654,42,44,0,4
"60",1,106.93,0,0,0,0,615,269,2.3,32,30,22,14,55643,14,31,0,4
"61",1,10.14,1,0,0,0,923,404,2.3,31,29,23,15,65015,30,39,0,1
"62",1,28.85,1,0,0,0,500,205,2.4,32,29,23,14,61703,42,32,0,1
"63",1,49.53,0,1,0,0,424,180,2.4,31,29,23,15,62163,31,34,0,1
"64",1,61.11,1,1,0,4,1006,424,2.4,31,30,23,15,52042,26,38,0,4
"65",1,46.68,1,0,0,0,455,199,2.3,32,30,22,14,83728,26,43,0,2
"66",1,181.43,0,0,0,0,672,278,2.4,31,30,23,15,56668,43,44,0,4
"67",1,51.79,0,0,0,1,715,304,2.4,32,29,23,15,84913,23,37,0,2
"68",1,33.12,0,0,0,0,520,210,2.5,32,29,23,15,84425,22,44,0,2
"69",1,36.1,0,0,0,0,591,253,2.3,32,30,22,15,69193,30,41,0,1
"70",1,95.42,1,0,0,0,669,284,2.4,31,29,23,15,64827,31,40,0,1
"71",1,81.88,0,0,0,0,761,324,2.3,32,30,22,14,71079,22,35,0,1
"72",1,10.61,0,0,0,0,774,332,2.3,32,30,22,15,80701,28,42,0,2
"73",1,0.43,1,0,0,0,668,276,2.4,31,30,23,15,41432,36,37,0,3
"74",1,26.68,0,1,0,0,778,333,2.3,32,30,22,15,71135,52,33,0,1
"75",1,109.71,0,0,0,1,342,155,2.2,31,29,23,15,58740,34,34,0,4
"76",1,100.72,0,1,0,1,799,349,2.3,31,30,22,15,50648,31,30,0,4
"77",1,3.4,0,1,0,0,765,337,2.3,32,29,22,14,55272,18,44,0,4
"78",1,31.27,1,0,0,0,785,345,2.3,32,30,22,15,64362,33,37,0,1
"79",1,95.31,1,1,0,1,718,313,2.3,31,30,22,14,62445,16,40,0,1
"80",1,54.8,0,0,0,0,664,275,2.4,31,29,23,15,46582,34,44,0,3
"81",1,74.52,0,0,0,3,904,387,2.3,31,30,23,14,41068,32,41,0,3
"82",1,101.66,0,1,0,4,396,167,2.4,32,29,23,15,78112,46,39,0,2
"83",1,84.28,0,0,0,0,762,322,2.4,32,29,23,14,66963,35,38,0,1
"84",1,31.46,0,1,0,1,678,291,2.3,31,29,23,15,55408,58,40,0,4
"85",1,74.45,0,0,0,0,624,278,2.2,31,30,23,14,83782,39,36,0,2
"86",1,93.09,0,0,0,0,719,317,2.3,32,29,22,15,53242,38,33,0,4
"87",1,98.24,1,1,0,1,363,153,2.4,31,30,23,14,68050,19,36,0,1
"88",1,88.87,1,0,0,0,706,319,2.2,31,30,22,15,70740,39,36,0,1
"89",1,42.21,0,1,0,2,733,312,2.3,32,29,23,14,50924,42,25,0,4
"90",1,57.19,1,0,0,4,630,292,2.2,32,30,23,14,60707,30,35,0,4
"91",1,113.7,1,0,0,2,784,347,2.3,31,30,23,14,69568,36,44,0,1
"92",1,229.76,0,0,0,0,405,163,2.5,32,30,23,14,46561,31,32,0,3
"93",1,116.37,1,1,0,1,789,333,2.4,31,30,23,15,55265,43,41,0,4
"94",1,158.31,0,1,0,2,624,278,2.2,31,30,23,14,83782,39,38,0,2
"95",1,179.09,0,0,0,1,540,231,2.3,32,29,22,15,59289,22,36,0,4
"96",1,105.21,1,1,0,0,648,279,2.3,32,30,23,15,71924,34,36,0,1
"97",1,99.37,1,0,0,0,326,132,2.5,32,29,23,15,55257,37,42,0,4
"98",1,50.85,1,0,0,0,641,273,2.3,32,30,23,14,82063,42,41,0,2
"99",1,86.16,0,0,0,0,624,278,2.2,31,30,23,14,83782,39,36,0,2
"100",1,44.54,0,0,0,1,474,197,2.4,32,29,22,15,66443,35,40,0,1
"101",1,0.53,0,0,0,0,502,209,2.4,31,30,22,15,50058,29,38,0,4
"102",1,119.58,1,0,0,0,755,318,2.4,32,30,23,14,43155,31,44,0,3
"103",1,92.15,0,1,0,0,765,337,2.3,32,29,22,14,55272,18,44,0,4
"104",1,68.65,1,0,0,0,455,199,2.3,32,30,22,14,83728,26,32,0,2
"105",1,72.74,1,1,0,1,363,153,2.4,31,30,23,14,68050,19,36,0,1
"106",1,19.93,1,1,0,0,648,279,2.3,32,30,23,15,71924,34,36,0,1
"107",1,48.73,1,0,0,1,824,373,2.2,31,30,23,15,86857,36,31,0,2
"108",1,67.53,0,0,0,2,816,344,2.4,32,29,23,14,45090,13,43,0,3
"109",1,19.45,1,0,0,0,455,199,2.3,32,30,22,14,83728,26,43,0,2
"110",1,47.36,1,0,0,0,455,199,2.3,32,30,22,14,83728,26,36,0,2
"111",1,62.51,1,0,0,0,885,380,2.3,32,29,23,15,85349,25,44,0,2
"112",1,53.5,1,0,0,0,563,245,2.3,31,29,23,15,84157,27,31,0,2
"113",1,124.56,0,0,0,0,645,284,2.3,32,30,22,14,85503,25,40,0,2
"114",1,12.89,0,1,0,0,406,169,2.4,32,30,22,15,70021,23,39,0,1
"115",1,72.89,0,0,0,0,536,226,2.4,31,30,23,14,46646,11,35,0,3
"116",1,185.67,0,0,0,0,536,235,2.3,32,30,22,15,83420,28,41,0,2
"117",1,54.14,1,0,0,0,686,293,2.3,32,30,23,14,58731,23,43,0,4
"118",1,215.41,0,0,0,0,663,266,2.5,31,30,23,15,52609,31,36,0,4
"119",1,125.67,1,0,0,0,560,239,2.3,32,30,22,15,61682,22,36,0,1
"120",1,197.6,0,1,0,4,583,241,2.4,32,30,22,14,68030,33,41,0,1
"121",1,61.52,1,1,0,0,463,192,2.4,32,30,22,14,55968,41,34,0,4
"122",1,40.62,0,0,0,0,998,432,2.3,32,29,23,15,42710,41,32,0,3
