id,tot_sls,female,married,children,HHIncomeMed,WhtCollarOcc,BluCollarOcc,pop_0_25,pop_26_plus,prc_city
C0101019559,164.7578,1,1,1,32820,66,34,11,89,11
C0108632650,74.92297,1,1,0,38493,69,31,20,80,10
C0107827455,220.94503,1,0,1,85707,86,14,19,81,19
C0103469893,203.25195,0,1,1,31455,70,30,10,90,20
C0105659953,152.88281,0,0,0,60389,70,30,17,83,22
C0102147726,130.37836,1,1,0,34684,78,22,13,87,17
C0105595142,166.24133,0,1,0,30177,68,32,21,79,14
C0108245547,177.99272,0,1,1,56768,79,21,11,89,21
C0101393107,109.1728,1,1,1,29320,85,15,19,81,17
C0108259677,206.53439,1,0,1,55291,84,16,19,81,18
C0106697134,81.43672,1,0,0,50368,66,34,22,78,13
C0101503156,111.56657,0,1,0,63333,75,25,18,82,11
C0102090022,168.74209,1,1,0,41421,73,27,13,87,22
C0108743611,129.24446,0,0,0,64774,81,19,15,85,20
C0107489477,136.68895,0,0,0,47755,80,20,11,89,8
C0109857463,177.9974,0,1,1,70060,75,25,16,84,11
C0102405515,166.02966,1,1,0,26654,78,22,13,87,13
C0109683198,87.84769,0,1,1,95061,86,14,21,79,9
C0102292399,148.44081,1,1,1,25589,66,34,10,90,16
C0106640088,215.73785,1,1,0,86165,75,25,19,81,26
C0105423507,180.5475,0,0,1,69750,73,27,14,86,13
C0107066853,154.28627,1,0,1,45263,75,25,17,83,10
C0103217439,128.1159,0,0,0,29710,78,22,15,85,11
C0105303032,178.37094,0,0,0,46486,84,16,22,78,20
C0108266754,170.47059,0,0,0,27071,78,22,10,90,25
C0105030101,174.69917,1,1,1,33273,72,28,12,88,21
C0105706116,144.53401,1,0,0,79669,73,27,17,83,14
C0104973236,229.32401,0,1,0,74669,72,28,11,89,20
C0102982656,86.59975,1,1,1,66275,83,17,16,84,12
C0101290134,122.81668,0,0,1,44092,76,24,14,86,24
C0107968839,219.32285,1,0,0,80665,80,20,11,89,20
C0103950797,84.29089,1,0,1,77141,79,21,11,89,10
C0108538556,166.53906,0,1,1,32514,70,30,17,83,23
C0107806412,190.23566,0,1,1,48054,68,32,13,87,10
C0104326187,118.77608,0,0,0,24952,68,32,10,90,25
C0103091263,155.20323,1,1,1,66287,68,32,15,85,14
C0108091730,162.27124,1,0,1,89556,79,21,9,91,25
C0107140189,175.68436,1,1,0,46084,66,34,17,83,19
C0107017074,106.26692,1,1,1,87748,73,27,14,86,13
C0102746778,211.45522,1,1,1,24018,82,18,17,83,25
C0105359373,208.84889,0,0,1,87341,80,20,15,85,15
C0101113859,168.077,1,0,0,55300,79,21,14,86,19
C0109856208,142.73074,1,0,0,35106,85,15,21,79,17
C0109007983,126.29608,1,1,1,31952,78,22,11,89,10
C0106202983,77.4583,0,1,1,78270,78,22,20,80,9
C0104913217,158.44161,0,0,1,87109,80,20,16,84,18
C0105849262,99.54922,1,0,1,96618,73,27,14,86,16
C0101106951,172.71095,1,0,1,31555,66,34,13,87,25
C0101883468,188.5019,1,1,1,90110,77,23,10,90,15
C0104051503,130.13524,0,0,0,36156,84,16,13,87,23
C0106305051,160.99944,0,1,1,73136,68,32,14,86,8
C0103131886,152.43577,0,1,0,25813,68,32,13,87,17
C0102488194,251.0087,0,1,1,97030,77,23,14,86,25
C0101106605,132.87644,1,0,1,91436,78,22,21,79,14
C0106146264,158.35269,0,1,1,27561,65,35,21,79,21
C0106391262,86.42883,0,1,1,28927,76,24,13,87,11
C0102859527,178.19968,1,1,1,40792,75,25,22,78,16
C0109915947,221.46536,1,1,1,62984,78,22,11,89,24
C0109996568,176.25485,0,0,1,81465,70,30,10,90,22
C0101104627,167.81353,0,0,1,60357,85,15,22,78,26
C0105902565,196.17391,1,1,1,69979,86,14,13,87,19
C0105450489,219.27303,0,0,0,56907,76,24,18,82,20
C0105721161,136.66032,0,1,0,64208,77,23,11,89,24
C0104413624,157.64234,1,1,0,79146,76,24,14,86,10
C0107332913,163.88795,1,0,0,29855,72,28,13,87,13
C0106550769,187.85177,0,0,1,33213,82,18,9,91,16
C0106252884,97.68557,1,0,0,68433,71,29,18,82,12
C0105752257,77.86516,1,1,1,53604,67,33,9,91,8
C0108323067,149.07067,1,1,1,51623,78,22,13,87,24
C0101460078,153.08282,1,0,0,98458,71,29,12,88,24
C0102136328,126.45177,1,1,1,69213,75,25,16,84,14
C0109366900,82.35088,0,0,0,73072,85,15,11,89,12
C0104589914,162.86054,0,1,0,84726,75,25,10,90,20
C0106622837,153.67888,0,1,1,96272,65,35,11,89,22
C0106479498,124.50304,1,0,0,52976,77,23,15,85,14
C0109097380,190.96075,0,0,0,38175,67,33,13,87,19
C0108686738,97.9171,1,1,0,70990,83,17,18,82,13
C0109404710,196.28997,1,1,0,93793,67,33,20,80,20
C0106468515,107.21282,1,0,1,67458,70,30,20,80,11
C0107990522,121.39914,1,0,1,73066,84,16,20,80,16
C0108176378,199.84179,1,0,0,94351,85,15,11,89,11
C0103826571,82.08871,1,0,1,62099,84,16,9,91,13
C0101299393,86.85798,0,0,1,29062,65,35,20,80,10
C0106800369,138.25798,0,0,0,31062,72,28,21,79,12
C0106774749,148.00586,0,1,0,58434,82,18,9,91,24
C0107499657,164.60071,0,1,1,29899,71,29,9,91,12
C0101947830,143.16471,0,0,1,51499,66,34,19,81,15
C0105235731,162.64305,1,0,1,75045,83,17,9,91,10
C0102948857,129.74662,0,1,1,77678,70,30,13,87,17
C0107090125,137.71174,1,1,0,37006,86,14,22,78,9
C0104786013,118.84874,0,1,0,76306,81,19,17,83,9
C0103442619,218.67677,1,1,0,89713,66,34,18,82,23
C0103065788,159.71411,1,1,0,33359,69,31,20,80,21
C0109022652,108.80629,1,1,0,52401,68,32,16,84,8
C0105166778,196.75542,1,0,0,55398,66,34,22,78,25
C0109494657,106.69465,0,1,0,52085,70,30,13,87,22
C0101256994,192.75708,0,0,0,99852,75,25,21,79,9
C0105101927,105.01689,1,1,0,85541,70,30,11,89,19
C0104188766,191.31104,1,0,0,78176,76,24,16,84,14
C0107425000,133.22413,1,1,1,93497,83,17,20,80,22
C0106768731,161.71696,0,1,1,27024,77,23,19,81,26
C0108583642,181.50091,1,1,1,99279,69,31,20,80,25
C0104765230,115.18097,0,1,1,54693,81,19,9,91,11
C0104967677,164.36545,0,0,1,97605,79,21,9,91,22
C0106452077,92.61882,1,0,1,99858,85,15,20,80,11
C0102526151,189.81008,1,0,1,58552,84,16,21,79,19
C0104810445,214.56438,0,0,1,53222,82,18,22,78,17
C0104538868,206.79711,1,0,0,38059,68,32,16,84,19
C0101693485,100.9677,1,0,1,91130,74,26,18,82,12
C0102001288,116.35777,1,0,1,80613,68,32,18,82,12
C0109890718,144.47982,1,0,1,87758,78,22,15,85,23
C0103954710,196.85629,0,0,1,91401,77,23,19,81,17
C0109919102,201.28494,0,0,0,76086,82,18,14,86,15
C0104336386,136.93821,1,1,0,81649,80,20,14,86,8
C0101063267,202.57526,0,0,0,87294,74,26,22,78,24
C0109705769,185.6912,1,0,0,27280,71,29,15,85,25
C0106804096,139.21653,1,1,1,34057,71,29,15,85,9
C0101774261,180.96876,1,1,1,53444,69,31,18,82,11
C0102967471,129.71325,0,1,1,43425,82,18,9,91,14
C0102586896,163.15365,0,1,0,72185,66,34,16,84,24
C0109565889,206.91978,0,1,0,47482,71,29,19,81,23
C0101444987,164.97012,1,1,1,37828,71,29,22,78,16
C0101370007,114.80691,1,1,1,98679,79,21,11,89,13
