pick,income,moves,age,education,employment,usage,nonpub,reachout,card
OCC,<7.5,0,35-44,HS,F,9,YES,NO,NO
ATT,45-75,2,25-34,HS,F,2,YES,NO,NO
OCC,,0,,,,6,NO,NO,YES
OCC,,2,65+,<HS,R,7,NO,NO,NO
OCC,,0,65+,HS,H,0,NO,NO,NO
OCC,,0,65+,,,0,NO,NO,NO
OCC,25-35,0,45-54,<HS,F,3,NO,NO,NO
OCC,15-25,0,55-64,HS,R,1,NO,NO,YES
OCC,,0,55-64,<HS,F,0,NO,NO,NO
OCC,25-35,0,45-54,<HS,H,2,NO,NO,NO
ATT,7.5-15,1,45-54,<HS,F,0,NO,NO,NO
ATT,<7.5,2,25-34,HS,F,5,YES,NO,NO
OCC,25-35,0,25-34,Coll,F,3,YES,,
ATT,>75,0,25-34,Coll,F,0,YES,NO,NO
OCC,15-25,0,55-64,HS,F,31,NO,NO,NO
ATT,45-75,0,35-44,BA,F,0,YES,NO,YES
ATT,35-45,1,25-34,>BA,F,74,NO,NO,YES
ATT,35-45,0,35-44,HS,H,0,NO,NO,NO
ATT,15-25,0,45-54,HS,U,13,YES,NO,NO
OCC,,0,55-64,<HS,R,3,NO,NO,NO
OCC,15-25,0,45-54,<HS,F,1,NO,NO,NO
OCC,,0,65+,HS,R,4,NO,NO,NO
ATT,15-25,1,45-54,<HS,F,17,YES,NO,NO
ATT,<7.5,0,35-44,<HS,H,1,YES,NO,NO
OCC,,0,65+,,R,4,NO,NO,NO
ATT,25-35,1,25-34,BA,F,0,YES,NO,NO
ATT,25-35,1,55-64,HS,P,1,YES,YES,NO
ATT,7.5-15,0,65+,<HS,R,0,NO,NO,NO
OCC,,0,35-44,HS,F,6,NO,NO,NO
OCC,15-25,0,65+,BA,R,8,NO,NO,YES
ATT,7.5-15,0,45-54,Coll,F,21,NO,YES,YES
OCC,35-45,0,55-64,Coll,R,5,YES,NO,NO
OCC,25-35,4,55-64,,R,0,NO,NO,YES
OCC,,0,65+,,H,0,NO,NO,NO
OCC,,0,65+,Coll,R,25,NO,NO,NO
OCC,,0,65+,HS,R,0,NO,NO,NO
OCC,,0,45-54,,U,2,NO,NO,NO
OCC,,0,65+,BA,R,0,NO,NO,NO
OCC,,0,35-44,Coll,H,0,NO,NO,NO
ATT,,,,,,1,NO,NO,NO
OCC,,0,,HS,R,5,NO,NO,NO
OCC,>75,0,65+,>BA,F,38,NO,NO,NO
OCC,25-35,0,55-64,<HS,P,0,NO,NO,NO
OCC,25-35,0,35-44,HS,F,0,YES,NO,NO
OCC,,0,45-54,HS,F,6,NO,NO,NO
OCC,,0,55-64,<HS,D,1,YES,NO,NO
OCC,7.5-15,1,55-64,<HS,H,0,NO,NO,NO
OCC,15-25,2,35-44,HS,F,3,NO,NO,NO
OCC,25-35,0,18-24,BA,F,26,NO,NO,NO
OCC,25-35,0,25-34,HS,F,7,NO,NO,NO
OCC,15-25,1,25-34,HS,F,0,NO,NO,NO
ATT,15-25,0,35-44,<HS,F,3,NO,NO,NO
OCC,15-25,0,65+,HS,R,0,NO,NO,NO
