sales,competition,population,income
107919,3,65044,13240
118866,5,101376,22554
98579,7,124989,16916
122015,2,55249,20967
152827,3,73775,19576
91259,5,48484,15039
123550,8,138809,21857
160931,2,50244,26435
98496,6,104300,24024
108052,2,37852,14987
144788,3,66921,30902
164571,4,166332,31573
105564,3,61951,19001
102568,5,100441,20058
103342,2,39462,16194
127030,5,139900,21384
166755,6,171740,18800
125343,6,149894,15289
121886,3,57386,16702
134594,6,185105,19093
152937,3,114520,26502
109622,3,52933,18760
149884,5,203500,33242
98388,4,39334,14988
140791,3,95120,18505
101260,3,49200,16839
139517,4,113566,28915
115236,9,194125,19033
136749,7,233844,19200
105067,7,83416,22833
136872,6,183953,14409
117146,3,60457,20307
163538,2,65065,20111
