cartime,carcost,traintime,traincost,choice
70,50,64,39,TRAIN
50,230,60,32,TRAIN
50,70,58,40,CAR
60,108,93,62,CAR
70,60,68,26,TRAIN
20,32,72,65,CAR
40,30,60,37,TRAIN
15,8,22,20,CAR
60,60,83,31,TRAIN
29,20,40,17,CAR
36,30,65,70,CAR
50,30,125,60,CAR
63,35,145,60,CAR
20,30,48,25,CAR
60,40,85,45,CAR
30,20,60,35,TRAIN
47,60,79,26,TRAIN
60,72,50,26,TRAIN
55,40,43,26,TRAIN
35,80,51,29,TRAIN
15,30,25,20,TRAIN
55,50,70,27,TRAIN
50,50,65,26,TRAIN
39,25,50,55,CAR
17,20,78,35,CAR
35,56,87,40,CAR
65,55,90,26,TRAIN
38,40,74,23,TRAIN
15,15,40,34,CAR
65,130,74,30,TRAIN
40,80,80,88,CAR
15,35,45,33,TRAIN
55,82,65,36,TRAIN
25,36,68,36,TRAIN
75,72,69,65,CAR
25,60,44,18,TRAIN
61,50,61,33,TRAIN
15,36,37,28,CAR
15,44,35,50,CAR
35,36,68,25,CAR
50,60,73,30,CAR
65,120,47,46,TRAIN
40,60,67,37,CAR
60,56,75,26,CAR
35,56,71,45,CAR
20,24,83,55,CAR
31,25,64,45,CAR
35,50,80,49,CAR
34,77,70,60,CAR
65,50,90,30,TRAIN
45,60,70,32,TRAIN
59,37,91,35,TRAIN
58,55,60,42,TRAIN
55,99,115,60,CAR
26,28,31,39,CAR
50,80,65,39,CAR
12,12,35,22,CAR
15,12,13,7,CAR
45,50,57,31,CAR
69,57,75,36,CAR
20,30,51,33,CAR
32,44,88,20,CAR
60,52,56,26,TRAIN
22,28,39,14,CAR
65,65,50,25,TRAIN
12,16,45,30,CAR
25,60,45,28,CAR
60,60,80,28,CAR
30,48,53,40,CAR
38,56,95,30,CAR
21,30,42,24,CAR
30,54,61,30,CAR
26,20,100,60,CAR
35,60,50,34,TRAIN
35,65,55,31,TRAIN
25,50,40,17,CAR
40,40,95,50,CAR
65,60,137,65,TRAIN
31,40,55,35,CAR
30,50,37,20,CAR
30,50,3,45,CAR
25,30,36,47,CAR
15,10,45,12,CAR
30,22,60,25,CAR
14,25,28,12,CAR
65,94,71,50,TRAIN
70,25,77,26,TRAIN
28,20,54,36,CAR
55,30,100,40,CAR
50,35,88,51,CAR
65,75,62,30,TRAIN
25,20,70,16,CAR
50,40,95,70,CAR
32,25,86,65,CAR
43,60,55,26,CAR
27,40,65,75,CAR
35,30,90,97,CAR
69,55,74,27,TRAIN
85,92,65,28,TRAIN
45,70,56,35,TRAIN
50,75,65,27,TRAIN
32,99,65,70,CAR
50,70,60,26,TRAIN
45,52,46,22,CAR
35,30,65,25,CAR
70,100,62,26,TRAIN
30,40,50,40,CAR
25,40,90,48,TRAIN
40,80,99,57,CAR
30,42,70,36,TRAIN
50,50,60,45,TRAIN
25,32,60,52,CAR
90,70,73,68,CAR
75,61,60,36,CAR
30,50,58,38,TRAIN
