carat,color,clarity,cut,channel,store,price
0.826,4,7,1,1,1,7775
0.996,5,6,1,1,1,9850
1.07,4,7,1,1,1,10950
1.07,7,7,0,1,1,7500
1.01,8,6,0,1,1,6995
0.66,3,4,1,1,1,6100
0.701,4,8,1,1,1,6300
0.97,8,6,0,1,1,4850
0.74,1,9,0,1,1,5895
2.04,5,6,0,1,1,23000
0.545,2,8,1,1,1,3895
1.085,4,8,0,1,2,5234
1.1,5,7,0,1,2,5375
1.21,6,6,0,1,2,6171
0.77,1,8,1,1,2,4256
1.05,3,7,0,1,2,6404
1.01,5,7,0,1,2,5476
1.14,4,5,0,1,2,5472
0.82,3,8,1,1,2,3878
1.01,7,7,0,0,3,5000
1.02,3,8,0,0,3,5999
1.16,4,8,0,0,3,4999
0.77,1,5,0,0,3,6999
0.87,2,5,0,0,3,6999
1.03,5,6,1,0,3,8900
0.59,5,8,0,0,3,2495
1.11,5,8,0,0,3,6000
1.02,9,6,0,0,3,3999
1.03,6,9,0,0,3,3900
1.01,7,6,0,0,3,4900
0.51,2,9,0,0,3,2895
0.7,6,7,0,0,3,3500
0.75,5,9,0,0,3,3200
2.37,7,9,0,0,3,9999
1.5,6,7,0,0,4,9499
1.2,4,9,0,0,4,5299
0.72,6,8,0,0,4,3499
0.72,5,8,1,0,4,4299
0.7,6,7,1,0,4,4299
0.69,4,7,1,0,4,4099
1.01,5,7,1,0,4,8699
1,5,7,0,1,5,5500
1.01,7,8,0,1,5,4350
1.01,4,6,0,1,5,5900
1.16,3,7,0,1,5,6500
1.24,7,9,0,1,5,5590
1.23,7,8,0,1,5,5590
1.11,2,9,0,1,5,5590
0.92,4,8,0,1,6,4390
0.504,5,7,0,1,6,1420
0.59,6,4,0,1,6,1770
0.69,5,6,0,1,6,2139
0.95,6,5,0,1,6,4560
0.545,3,7,0,1,6,1890
1,5,7,0,1,6,4495
1.022,7,7,0,1,6,4300
1.007,2,7,0,1,6,6200
1.05,2,8,0,1,6,6250
1.02,6,7,0,1,6,4850
1.01,2,6,0,1,6,5500
1.01,3,6,0,1,6,6500
1.5,6,6,0,0,7,16150
2.11,3,9,0,0,7,16500
0.4,4,8,1,0,7,2245
0.47,2,8,0,0,7,3080
0.66,3,8,0,0,7,4125
0.32,3,8,0,0,7,1375
1.03,6,5,0,0,7,6299
1.03,6,7,0,0,7,4949
0.69,6,6,1,0,7,6455
1.02,4,9,1,0,7,8735
0.7,4,8,1,0,7,6685
0.98,6,5,0,0,7,6659
1,8,10,0,0,7,2900
0.35,5,8,1,0,7,1680
0.83,4,8,0,0,8,3995
0.72,5,8,1,0,8,3499
0.7,5,6,0,0,8,4990
1.06,5,6,0,0,8,10255
1,8,10,0,0,8,2999
0.72,7,9,0,0,8,2699
0.72,6,9,0,0,8,2699
1.14,3,7,0,1,9,8100
1.04,5,6,0,1,9,6700
0.86,3,8,0,1,9,4200
1.27,6,8,0,1,9,5302
