id,nnights,nadults,nchildren,planning,sex,age,education,income,region,shopping,antiquing,scenery,eatfine,eatcasual,eatfamstyle,eatfastfood,museums,indoorpool,outdoorpool,hiking,gambling,boatswim,fishing,golfing,boattours,rideducks,amusepark,minigolf,gocarting,waterpark,circusworld,tbskishow,helicopter,horseride,standrock,outattract,nearbyattract,movietheater,concerttheater,barpubdance,shopbroadway,bungeejumping
1,3,2,3,This Month,Female,35-44,HS Grad or Less,Lower Income,Other,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
2,3,4,5+,One Month or More Ago,Male,35-44,College Grad,,Minneapolis/StPaul,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO
3,4+,2,2,One Month or More Ago,Male,35-44,College Grad,Lower Income,Chicago,YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO
4,3,1,1,This Month,Female,35-44,Post Grad,Lower Income,Chicago,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO
5,4+,5+,5+,One Month or More Ago,Female,35-44,Post Grad,,Other,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO
6,0,2,4,One Month or More Ago,Male,35-44,College Grad,,Other,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
7,1,2,4,This Week,Female,35-44,College Grad,Middle Income,Other Wisconsin,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
8,4+,5+,2,One Month or More Ago,Male,35-44,Post Grad,Lower Income,Other,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO
9,0,2,No kids,This Week,Male,35-44,HS Grad or Less,Lower Income,Madison,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO
10,3,2,2,One Month or More Ago,Female,35-44,HS Grad or Less,Lower Income,Chicago,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO
