id,profile,setid,position,brand,compat,perform,reliab,learn,price,choice,buy
1,1,1,Top-Left,Sun,1,4,2,8,8,0,0
1,2,1,Top-Right,Apple,7,3,1,6,3,0,0
1,3,1,Bottom-Left,IBM,6,1,2,4,4,1,0
1,4,1,Bottom-Right,Compaq,8,3,2,2,7,0,0
1,5,2,Top-Left,Gateway,4,2,2,2,2,0,0
1,6,2,Top-Right,Sony,8,4,1,5,8,0,0
1,7,2,Bottom-Left,Sun,1,1,2,7,3,0,0
1,8,2,Bottom-Right,Dell,5,3,1,4,5,1,0
1,9,3,Top-Left,Dell,4,4,1,6,7,1,0
1,10,3,Top-Right,Sony,7,2,2,2,6,0,0
1,11,3,Bottom-Left,Apple,3,3,2,8,2,0,0
1,12,3,Bottom-Right,HP,8,1,1,2,5,0,0
1,13,4,Top-Left,Compaq,6,2,1,6,5,0,0
1,14,4,Top-Right,IBM,5,4,1,2,3,1,1
1,15,4,Bottom-Left,HP,7,3,2,7,1,0,0
1,16,4,Bottom-Right,Apple,2,1,1,4,7,0,0
1,17,5,Top-Left,Sony,6,1,1,8,3,0,0
1,18,5,Top-Right,Compaq,5,4,2,3,1,1,1
1,19,5,Bottom-Left,Dell,1,3,2,2,8,0,0
1,20,5,Bottom-Right,Gateway,8,2,1,1,1,0,0
1,21,6,Top-Left,IBM,1,4,2,4,2,1,1
1,22,6,Top-Right,Dell,8,4,2,8,6,0,0
1,23,6,Bottom-Left,Sun,4,2,1,3,4,0,0
1,24,6,Bottom-Right,Gateway,6,3,1,1,8,0,0
1,25,7,Top-Left,HP,2,4,2,1,3,1,1
1,26,7,Top-Right,Compaq,7,2,1,2,5,0,0
1,27,7,Bottom-Left,Sony,1,3,1,3,6,0,0
1,28,7,Bottom-Right,IBM,6,2,2,7,7,0,0
1,29,8,Top-Left,Dell,6,1,2,5,1,0,0
1,30,8,Top-Right,HP,5,2,2,6,6,0,0
1,31,8,Bottom-Left,Gateway,2,3,2,3,5,1,0
1,32,8,Bottom-Right,Compaq,1,4,1,1,4,0,0
1,33,9,Top-Left,Apple,1,2,2,5,5,0,0
1,34,9,Top-Right,Gateway,3,4,1,7,6,1,0
1,35,9,Bottom-Left,IBM,7,1,1,3,8,0,0
1,36,9,Bottom-Right,Sony,5,3,2,1,7,0,0
1,37,10,Top-Left,HP,4,1,2,4,8,0,0
1,38,10,Top-Right,Dell,8,3,2,1,2,1,1
1,39,10,Bottom-Left,IBM,2,2,1,5,6,0,0
1,40,10,Bottom-Right,Sun,7,4,1,8,5,0,0
1,41,11,Top-Left,Compaq,4,3,2,5,3,0,0
1,42,11,Top-Right,Sun,3,4,2,6,8,0,0
1,43,11,Bottom-Left,Gateway,5,1,2,8,4,0,0
1,44,11,Bottom-Right,HP,6,4,1,3,2,1,1
1,45,12,Top-Left,IBM,8,3,2,6,4,1,1
1,46,12,Top-Right,Gateway,7,4,2,5,7,0,0
1,47,12,Bottom-Left,Sony,3,2,1,2,1,0,0
1,48,12,Bottom-Right,Apple,4,1,1,1,6,0,0
1,49,13,Top-Left,Sun,5,1,1,5,2,0,0
1,50,13,Top-Right,Apple,6,4,2,2,4,0,0
1,51,13,Bottom-Left,Dell,3,2,2,3,3,0,0
1,52,13,Bottom-Right,IBM,4,3,1,8,1,1,1
1,53,14,Top-Left,Sony,4,4,2,7,5,0,0
1,54,14,Top-Right,HP,3,3,1,5,4,1,0
1,55,14,Bottom-Left,Compaq,2,2,2,8,8,0,0
1,56,14,Bottom-Right,Gateway,1,1,1,6,1,0,0
1,57,15,Top-Left,Apple,5,2,1,7,8,0,0
1,58,15,Top-Right,Sun,6,3,2,4,6,1,0
1,59,15,Bottom-Left,HP,1,2,1,8,7,0,0
1,60,15,Bottom-Right,Sony,2,1,2,6,2,0,0
1,61,16,Top-Left,Gateway,8,2,1,4,3,0,0
1,62,16,Top-Right,IBM,3,1,2,1,5,0,0
1,63,16,Bottom-Left,Compaq,5,4,2,3,1,1,1
1,64,16,Bottom-Right,Dell,2,1,1,7,4,0,0
7,1,1,Top-Left,Sun,1,4,2,8,8,0,0
7,2,1,Top-Right,Apple,7,3,1,6,3,0,0
7,3,1,Bottom-Left,IBM,6,1,2,4,4,0,0
7,4,1,Bottom-Right,Compaq,8,3,2,2,7,1,1
7,5,2,Top-Left,Gateway,4,2,2,2,2,0,0
7,6,2,Top-Right,Sony,8,4,1,5,8,0,0
7,7,2,Bottom-Left,Sun,1,1,2,7,3,0,0
7,8,2,Bottom-Right,Dell,5,3,1,4,5,1,0
7,9,3,Top-Left,Dell,4,4,1,6,7,0,0
7,10,3,Top-Right,Sony,7,2,2,2,6,0,0
7,11,3,Bottom-Left,Apple,3,3,2,8,2,0,0
7,12,3,Bottom-Right,HP,8,1,1,2,5,1,0
7,13,4,Top-Left,Compaq,6,2,1,6,5,0,0
7,14,4,Top-Right,IBM,5,4,1,2,3,1,1
7,15,4,Bottom-Left,HP,7,3,2,7,1,0,0
7,16,4,Bottom-Right,Apple,2,1,1,4,7,0,0
7,17,5,Top-Left,Sony,6,1,1,8,3,0,0
7,18,5,Top-Right,Compaq,5,4,2,3,1,1,1
7,19,5,Bottom-Left,Dell,1,3,2,2,8,0,0
7,20,5,Bottom-Right,Gateway,8,2,1,1,1,0,0
7,21,6,Top-Left,IBM,1,4,2,4,2,0,0
7,22,6,Top-Right,Dell,8,4,2,8,6,1,0
7,23,6,Bottom-Left,Sun,4,2,1,3,4,0,0
7,24,6,Bottom-Right,Gateway,6,3,1,1,8,0,0
7,25,7,Top-Left,HP,2,4,2,1,3,0,0
7,26,7,Top-Right,Compaq,7,2,1,2,5,1,1
7,27,7,Bottom-Left,Sony,1,3,1,3,6,0,0
7,28,7,Bottom-Right,IBM,6,2,2,7,7,0,0
7,29,8,Top-Left,Dell,6,1,2,5,1,0,0
7,30,8,Top-Right,HP,5,2,2,6,6,0,0
7,31,8,Bottom-Left,Gateway,2,3,2,3,5,0,0
7,32,8,Bottom-Right,Compaq,1,4,1,1,4,1,1
7,33,9,Top-Left,Apple,1,2,2,5,5,0,0
7,34,9,Top-Right,Gateway,3,4,1,7,6,0,0
7,35,9,Bottom-Left,IBM,7,1,1,3,8,1,0
7,36,9,Bottom-Right,Sony,5,3,2,1,7,0,0
7,37,10,Top-Left,HP,4,1,2,4,8,0,0
7,38,10,Top-Right,Dell,8,3,2,1,2,1,1
7,39,10,Bottom-Left,IBM,2,2,1,5,6,0,0
7,40,10,Bottom-Right,Sun,7,4,1,8,5,0,0
7,41,11,Top-Left,Compaq,4,3,2,5,3,0,0
7,42,11,Top-Right,Sun,3,4,2,6,8,0,0
7,43,11,Bottom-Left,Gateway,5,1,2,8,4,0,0
7,44,11,Bottom-Right,HP,6,4,1,3,2,1,0
7,45,12,Top-Left,IBM,8,3,2,6,4,1,1
7,46,12,Top-Right,Gateway,7,4,2,5,7,0,0
7,47,12,Bottom-Left,Sony,3,2,1,2,1,0,0
7,48,12,Bottom-Right,Apple,4,1,1,1,6,0,0
7,49,13,Top-Left,Sun,5,1,1,5,2,0,0
7,50,13,Top-Right,Apple,6,4,2,2,4,0,0
7,51,13,Bottom-Left,Dell,3,2,2,3,3,0,0
7,52,13,Bottom-Right,IBM,4,3,1,8,1,1,0
7,53,14,Top-Left,Sony,4,4,2,7,5,0,0
7,54,14,Top-Right,HP,3,3,1,5,4,1,1
7,55,14,Bottom-Left,Compaq,2,2,2,8,8,0,0
7,56,14,Bottom-Right,Gateway,1,1,1,6,1,0,0
7,57,15,Top-Left,Apple,5,2,1,7,8,0,0
7,58,15,Top-Right,Sun,6,3,2,4,6,1,0
7,59,15,Bottom-Left,HP,1,2,1,8,7,0,0
7,60,15,Bottom-Right,Sony,2,1,2,6,2,0,0
7,61,16,Top-Left,Gateway,8,2,1,4,3,0,0
7,62,16,Top-Right,IBM,3,1,2,1,5,0,0
7,63,16,Bottom-Left,Compaq,5,4,2,3,1,1,1
7,64,16,Bottom-Right,Dell,2,1,1,7,4,0,0
9,1,1,Top-Left,Sun,1,4,2,8,8,0,0
9,2,1,Top-Right,Apple,7,3,1,6,3,0,0
9,3,1,Bottom-Left,IBM,6,1,2,4,4,1,1
9,4,1,Bottom-Right,Compaq,8,3,2,2,7,0,0
9,5,2,Top-Left,Gateway,4,2,2,2,2,0,0
9,6,2,Top-Right,Sony,8,4,1,5,8,0,0
9,7,2,Bottom-Left,Sun,1,1,2,7,3,1,0
9,8,2,Bottom-Right,Dell,5,3,1,4,5,0,0
9,9,3,Top-Left,Dell,4,4,1,6,7,0,0
9,10,3,Top-Right,Sony,7,2,2,2,6,1,0
9,11,3,Bottom-Left,Apple,3,3,2,8,2,0,0
9,12,3,Bottom-Right,HP,8,1,1,2,5,0,0
9,13,4,Top-Left,Compaq,6,2,1,6,5,0,0
9,14,4,Top-Right,IBM,5,4,1,2,3,0,0
9,15,4,Bottom-Left,HP,7,3,2,7,1,1,1
9,16,4,Bottom-Right,Apple,2,1,1,4,7,0,0
9,17,5,Top-Left,Sony,6,1,1,8,3,0,0
9,18,5,Top-Right,Compaq,5,4,2,3,1,1,1
9,19,5,Bottom-Left,Dell,1,3,2,2,8,0,0
9,20,5,Bottom-Right,Gateway,8,2,1,1,1,0,0
9,21,6,Top-Left,IBM,1,4,2,4,2,0,0
9,22,6,Top-Right,Dell,8,4,2,8,6,1,0
9,23,6,Bottom-Left,Sun,4,2,1,3,4,0,0
9,24,6,Bottom-Right,Gateway,6,3,1,1,8,0,0
9,25,7,Top-Left,HP,2,4,2,1,3,0,0
9,26,7,Top-Right,Compaq,7,2,1,2,5,0,0
9,27,7,Bottom-Left,Sony,1,3,1,3,6,0,0
9,28,7,Bottom-Right,IBM,6,2,2,7,7,1,0
9,29,8,Top-Left,Dell,6,1,2,5,1,0,0
9,30,8,Top-Right,HP,5,2,2,6,6,1,0
9,31,8,Bottom-Left,Gateway,2,3,2,3,5,0,0
9,32,8,Bottom-Right,Compaq,1,4,1,1,4,0,0
9,33,9,Top-Left,Apple,1,2,2,5,5,0,0
9,34,9,Top-Right,Gateway,3,4,1,7,6,0,0
9,35,9,Bottom-Left,IBM,7,1,1,3,8,0,0
9,36,9,Bottom-Right,Sony,5,3,2,1,7,1,0
9,37,10,Top-Left,HP,4,1,2,4,8,0,0
9,38,10,Top-Right,Dell,8,3,2,1,2,1,0
9,39,10,Bottom-Left,IBM,2,2,1,5,6,0,0
9,40,10,Bottom-Right,Sun,7,4,1,8,5,0,0
9,41,11,Top-Left,Compaq,4,3,2,5,3,1,1
9,42,11,Top-Right,Sun,3,4,2,6,8,0,0
9,43,11,Bottom-Left,Gateway,5,1,2,8,4,0,0
9,44,11,Bottom-Right,HP,6,4,1,3,2,0,0
9,45,12,Top-Left,IBM,8,3,2,6,4,1,1
9,46,12,Top-Right,Gateway,7,4,2,5,7,0,0
9,47,12,Bottom-Left,Sony,3,2,1,2,1,0,0
9,48,12,Bottom-Right,Apple,4,1,1,1,6,0,0
9,49,13,Top-Left,Sun,5,1,1,5,2,0,0
9,50,13,Top-Right,Apple,6,4,2,2,4,1,0
9,51,13,Bottom-Left,Dell,3,2,2,3,3,0,0
9,52,13,Bottom-Right,IBM,4,3,1,8,1,0,0
9,53,14,Top-Left,Sony,4,4,2,7,5,1,0
9,54,14,Top-Right,HP,3,3,1,5,4,0,0
9,55,14,Bottom-Left,Compaq,2,2,2,8,8,0,0
9,56,14,Bottom-Right,Gateway,1,1,1,6,1,0,0
9,57,15,Top-Left,Apple,5,2,1,7,8,0,0
9,58,15,Top-Right,Sun,6,3,2,4,6,1,0
9,59,15,Bottom-Left,HP,1,2,1,8,7,0,0
9,60,15,Bottom-Right,Sony,2,1,2,6,2,0,0
9,61,16,Top-Left,Gateway,8,2,1,4,3,0,0
9,62,16,Top-Right,IBM,3,1,2,1,5,0,0
9,63,16,Bottom-Left,Compaq,5,4,2,3,1,1,1
9,64,16,Bottom-Right,Dell,2,1,1,7,4,0,0
10,1,1,Top-Left,Sun,1,4,2,8,8,0,0
10,2,1,Top-Right,Apple,7,3,1,6,3,0,0
10,3,1,Bottom-Left,IBM,6,1,2,4,4,0,0
10,4,1,Bottom-Right,Compaq,8,3,2,2,7,1,1
10,5,2,Top-Left,Gateway,4,2,2,2,2,1,1
10,6,2,Top-Right,Sony,8,4,1,5,8,0,0
10,7,2,Bottom-Left,Sun,1,1,2,7,3,0,0
10,8,2,Bottom-Right,Dell,5,3,1,4,5,0,0
10,9,3,Top-Left,Dell,4,4,1,6,7,0,0
10,10,3,Top-Right,Sony,7,2,2,2,6,1,1
10,11,3,Bottom-Left,Apple,3,3,2,8,2,0,0
10,12,3,Bottom-Right,HP,8,1,1,2,5,0,0
10,13,4,Top-Left,Compaq,6,2,1,6,5,0,0
10,14,4,Top-Right,IBM,5,4,1,2,3,0,0
10,15,4,Bottom-Left,HP,7,3,2,7,1,1,0
10,16,4,Bottom-Right,Apple,2,1,1,4,7,0,0
10,17,5,Top-Left,Sony,6,1,1,8,3,0,0
10,18,5,Top-Right,Compaq,5,4,2,3,1,1,0
10,19,5,Bottom-Left,Dell,1,3,2,2,8,0,0
10,20,5,Bottom-Right,Gateway,8,2,1,1,1,0,0
10,21,6,Top-Left,IBM,1,4,2,4,2,0,0
10,22,6,Top-Right,Dell,8,4,2,8,6,1,1
10,23,6,Bottom-Left,Sun,4,2,1,3,4,0,0
10,24,6,Bottom-Right,Gateway,6,3,1,1,8,0,0
10,25,7,Top-Left,HP,2,4,2,1,3,0,0
10,26,7,Top-Right,Compaq,7,2,1,2,5,0,0
10,27,7,Bottom-Left,Sony,1,3,1,3,6,0,0
10,28,7,Bottom-Right,IBM,6,2,2,7,7,1,0
10,29,8,Top-Left,Dell,6,1,2,5,1,1,1
10,30,8,Top-Right,HP,5,2,2,6,6,0,0
10,31,8,Bottom-Left,Gateway,2,3,2,3,5,0,0
10,32,8,Bottom-Right,Compaq,1,4,1,1,4,0,0
10,33,9,Top-Left,Apple,1,2,2,5,5,0,0
10,34,9,Top-Right,Gateway,3,4,1,7,6,0,0
10,35,9,Bottom-Left,IBM,7,1,1,3,8,0,0
10,36,9,Bottom-Right,Sony,5,3,2,1,7,1,1
10,37,10,Top-Left,HP,4,1,2,4,8,0,0
10,38,10,Top-Right,Dell,8,3,2,1,2,1,1
10,39,10,Bottom-Left,IBM,2,2,1,5,6,0,0
10,40,10,Bottom-Right,Sun,7,4,1,8,5,0,0
10,41,11,Top-Left,Compaq,4,3,2,5,3,1,0
10,42,11,Top-Right,Sun,3,4,2,6,8,0,0
10,43,11,Bottom-Left,Gateway,5,1,2,8,4,0,0
10,44,11,Bottom-Right,HP,6,4,1,3,2,0,0
10,45,12,Top-Left,IBM,8,3,2,6,4,1,1
10,46,12,Top-Right,Gateway,7,4,2,5,7,0,0
10,47,12,Bottom-Left,Sony,3,2,1,2,1,0,0
10,48,12,Bottom-Right,Apple,4,1,1,1,6,0,0
10,49,13,Top-Left,Sun,5,1,1,5,2,0,0
10,50,13,Top-Right,Apple,6,4,2,2,4,1,1
10,51,13,Bottom-Left,Dell,3,2,2,3,3,0,0
10,52,13,Bottom-Right,IBM,4,3,1,8,1,0,0
10,53,14,Top-Left,Sony,4,4,2,7,5,1,0
10,54,14,Top-Right,HP,3,3,1,5,4,0,0
10,55,14,Bottom-Left,Compaq,2,2,2,8,8,0,0
10,56,14,Bottom-Right,Gateway,1,1,1,6,1,0,0
10,57,15,Top-Left,Apple,5,2,1,7,8,0,0
10,58,15,Top-Right,Sun,6,3,2,4,6,1,1
10,59,15,Bottom-Left,HP,1,2,1,8,7,0,0
10,60,15,Bottom-Right,Sony,2,1,2,6,2,0,0
10,61,16,Top-Left,Gateway,8,2,1,4,3,0,0
10,62,16,Top-Right,IBM,3,1,2,1,5,0,0
10,63,16,Bottom-Left,Compaq,5,4,2,3,1,1,1
10,64,16,Bottom-Right,Dell,2,1,1,7,4,0,0
11,1,1,Top-Left,Sun,1,4,2,8,8,0,0
11,2,1,Top-Right,Apple,7,3,1,6,3,0,0
11,3,1,Bottom-Left,IBM,6,1,2,4,4,0,0
11,4,1,Bottom-Right,Compaq,8,3,2,2,7,1,1
11,5,2,Top-Left,Gateway,4,2,2,2,2,1,1
11,6,2,Top-Right,Sony,8,4,1,5,8,0,0
11,7,2,Bottom-Left,Sun,1,1,2,7,3,0,0
11,8,2,Bottom-Right,Dell,5,3,1,4,5,0,0
11,9,3,Top-Left,Dell,4,4,1,6,7,0,0
11,10,3,Top-Right,Sony,7,2,2,2,6,1,0
11,11,3,Bottom-Left,Apple,3,3,2,8,2,0,0
11,12,3,Bottom-Right,HP,8,1,1,2,5,0,0
11,13,4,Top-Left,Compaq,6,2,1,6,5,0,0
11,14,4,Top-Right,IBM,5,4,1,2,3,1,1
11,15,4,Bottom-Left,HP,7,3,2,7,1,0,0
11,16,4,Bottom-Right,Apple,2,1,1,4,7,0,0
11,17,5,Top-Left,Sony,6,1,1,8,3,0,0
11,18,5,Top-Right,Compaq,5,4,2,3,1,1,1
11,19,5,Bottom-Left,Dell,1,3,2,2,8,0,0
11,20,5,Bottom-Right,Gateway,8,2,1,1,1,0,0
11,21,6,Top-Left,IBM,1,4,2,4,2,0,0
11,22,6,Top-Right,Dell,8,4,2,8,6,0,0
11,23,6,Bottom-Left,Sun,4,2,1,3,4,0,0
11,24,6,Bottom-Right,Gateway,6,3,1,1,8,1,1
11,25,7,Top-Left,HP,2,4,2,1,3,0,0
11,26,7,Top-Right,Compaq,7,2,1,2,5,1,0
11,27,7,Bottom-Left,Sony,1,3,1,3,6,0,0
11,28,7,Bottom-Right,IBM,6,2,2,7,7,0,0
11,29,8,Top-Left,Dell,6,1,2,5,1,0,0
11,30,8,Top-Right,HP,5,2,2,6,6,0,0
11,31,8,Bottom-Left,Gateway,2,3,2,3,5,1,1
11,32,8,Bottom-Right,Compaq,1,4,1,1,4,0,0
11,33,9,Top-Left,Apple,1,2,2,5,5,0,0
11,34,9,Top-Right,Gateway,3,4,1,7,6,0,0
11,35,9,Bottom-Left,IBM,7,1,1,3,8,0,0
11,36,9,Bottom-Right,Sony,5,3,2,1,7,1,1
11,37,10,Top-Left,HP,4,1,2,4,8,0,0
11,38,10,Top-Right,Dell,8,3,2,1,2,1,1
11,39,10,Bottom-Left,IBM,2,2,1,5,6,0,0
11,40,10,Bottom-Right,Sun,7,4,1,8,5,0,0
11,41,11,Top-Left,Compaq,4,3,2,5,3,0,0
11,42,11,Top-Right,Sun,3,4,2,6,8,0,0
11,43,11,Bottom-Left,Gateway,5,1,2,8,4,0,0
11,44,11,Bottom-Right,HP,6,4,1,3,2,1,1
11,45,12,Top-Left,IBM,8,3,2,6,4,1,1
11,46,12,Top-Right,Gateway,7,4,2,5,7,0,0
11,47,12,Bottom-Left,Sony,3,2,1,2,1,0,0
11,48,12,Bottom-Right,Apple,4,1,1,1,6,0,0
11,49,13,Top-Left,Sun,5,1,1,5,2,0,0
11,50,13,Top-Right,Apple,6,4,2,2,4,1,0
11,51,13,Bottom-Left,Dell,3,2,2,3,3,0,0
11,52,13,Bottom-Right,IBM,4,3,1,8,1,0,0
11,53,14,Top-Left,Sony,4,4,2,7,5,0,0
11,54,14,Top-Right,HP,3,3,1,5,4,1,0
11,55,14,Bottom-Left,Compaq,2,2,2,8,8,0,0
11,56,14,Bottom-Right,Gateway,1,1,1,6,1,0,0
11,57,15,Top-Left,Apple,5,2,1,7,8,0,0
11,58,15,Top-Right,Sun,6,3,2,4,6,1,0
11,59,15,Bottom-Left,HP,1,2,1,8,7,0,0
11,60,15,Bottom-Right,Sony,2,1,2,6,2,0,0
11,61,16,Top-Left,Gateway,8,2,1,4,3,1,1
11,62,16,Top-Right,IBM,3,1,2,1,5,0,0
11,63,16,Bottom-Left,Compaq,5,4,2,3,1,0,0
11,64,16,Bottom-Right,Dell,2,1,1,7,4,0,0
13,1,1,Top-Left,Sun,1,4,2,8,8,0,0
13,2,1,Top-Right,Apple,7,3,1,6,3,0,0
13,3,1,Bottom-Left,IBM,6,1,2,4,4,0,0
13,4,1,Bottom-Right,Compaq,8,3,2,2,7,1,1
13,5,2,Top-Left,Gateway,4,2,2,2,2,1,1
13,6,2,Top-Right,Sony,8,4,1,5,8,0,0
13,7,2,Bottom-Left,Sun,1,1,2,7,3,0,0
13,8,2,Bottom-Right,Dell,5,3,1,4,5,0,0
13,9,3,Top-Left,Dell,4,4,1,6,7,0,0
13,10,3,Top-Right,Sony,7,2,2,2,6,1,1
13,11,3,Bottom-Left,Apple,3,3,2,8,2,0,0
13,12,3,Bottom-Right,HP,8,1,1,2,5,0,0
13,13,4,Top-Left,Compaq,6,2,1,6,5,0,0
13,14,4,Top-Right,IBM,5,4,1,2,3,0,0
13,15,4,Bottom-Left,HP,7,3,2,7,1,1,0
