data.set,total.cost,lot.sale.days,overage,mileage,vehicle.type,domestic.import,vehicle.age,vehicle.age.group,color.set,makex,state,make.model
TRAIN,4037,135,YES,67341,FAMILY.LARGE,Domestic,8,SEVEN+,SILVER,BUICK,CA,BUICK.CENTURY
TRAIN,4662,18,NO,69384,FAMILY.SMALL,Import,4,FOUR,SILVER,MAZDA,TX,MAZDA.PROTEGE
TRAIN,4459,65,NO,58239,ECONOMY,Import,4,FOUR,RED,GEO,FL,GEO.METRO
TRAIN,4279,1,NO,58999,ECONOMY,Import,3,ONE-THREE,RED,KIA,TX,KIA.SEPHIA
TRAIN,4472,37,NO,47234,FAMILY.MEDIUM,Domestic,6,SIX,BLUE,MERCURY,NM,MERCURY.MYSTIQUE
TRAIN,5256,12,NO,64674,FAMILY.SMALL,Domestic,3,ONE-THREE,GOLD,CHEVROLET,CA,CHEVROLET.CAVALIER
TRAIN,5522,7,NO,92879,FAMILY.LARGE,Domestic,5,FIVE,RED,BUICK,NV,BUICK.LESABRE
TRAIN,3194,16,NO,67197,FAMILY.SMALL,Domestic,6,SIX,SILVER,PLYMOUTH,TX,PLYMOUTH.ACCLAIM
TRAIN,4332,7,NO,98403,FAMILY.MEDIUM,Domestic,4,FOUR,WHITE,CHEVROLET,NM,CHEVROLET.LUMINA
TRAIN,4249,42,NO,87183,FAMILY.MEDIUM,Domestic,6,SIX,SILVER,PONTIAC,FL,PONTIAC.GRAND AM
TRAIN,4834,20,NO,58701,FAMILY.MEDIUM,Domestic,5,FIVE,WHITE,FORD,TX,FORD.TAURUS
TRAIN,6886,114,YES,72823,FAMILY.MEDIUM,Domestic,6,SIX,WHITE,DODGE,AZ,DODGE.NEON
TRAIN,5537,26,NO,93520,FAMILY.LARGE,Domestic,5,FIVE,BLACK,CHRYSLER,TX,CHRYSLER.CONCORDE
TRAIN,4520,27,NO,79729,FAMILY.SMALL,Domestic,4,FOUR,PURPLE,CHEVROLET,TX,CHEVROLET.PRIZM
TRAIN,5583,15,NO,91034,FAMILY.SMALL,Import,6,SIX,GOLD,TOYOTA,CA,TOYOTA.COROLLA
TRAIN,4146,1,NO,72481,ECONOMY,Domestic,4,FOUR,PURPLE,FORD,TX,FORD.ESCORT
TRAIN,5083,10,NO,51411,FAMILY.MEDIUM,Domestic,4,FOUR,GREEN,PONTIAC,TX,PONTIAC.GRAND AM
TRAIN,4402,19,NO,71264,FAMILY.LARGE,Domestic,7,SEVEN+,WHITE,BUICK,GA,BUICK.LESABRE
TRAIN,6794,0,NO,98214,LUXURY,Import,6,SIX,GREEN,NISSAN,GA,NISSAN.MAXIMA
TRAIN,4964,4,NO,69802,FAMILY.MEDIUM,Import,4,FOUR,GREEN,HYUNDAI,AZ,HYUNDAI.SONATA
TRAIN,3924,205,YES,96330,FAMILY.MEDIUM,Domestic,9,SEVEN+,WHITE,OLDSMOBILE,FL,OLDSMOBILE.CUTLASS SUPREME
TRAIN,5203,77,NO,85846,FAMILY.MEDIUM,Domestic,10,SEVEN+,GOLD,OLDSMOBILE,AZ,OLDSMOBILE.98
TRAIN,4241,22,NO,69417,FAMILY.LARGE,Domestic,8,SEVEN+,BLUE,BUICK,TX,BUICK.LESABRE
TRAIN,5510,45,NO,63035,FAMILY.LARGE,Domestic,7,SEVEN+,BLACK,CHRYSLER,CA,CHRYSLER.LHS
TRAIN,5921,0,NO,65893,LUXURY,Import,7,SEVEN+,SILVER,HONDA,CA,HONDA.CIVIC
TRAIN,3165,7,NO,63223,LUXURY,Import,6,SIX,GREEN,TOYOTA,FL,TOYOTA.TERCEL
TRAIN,4026,49,NO,71165,FAMILY.MEDIUM,Domestic,6,SIX,GREEN,FORD,VA,FORD.TAURUS
TRAIN,4031,11,NO,102645,LUXURY,Import,5,FIVE,GREEN,NISSAN,FL,NISSAN.SENTRA
TRAIN,4569,21,NO,77427,FAMILY.LARGE,Domestic,4,FOUR,PURPLE,FORD,CA,FORD.TAURUS
