YRMON MADV MSALES 
0701  30102  86256 
0702  35154 102281 
0703  51816 102594 
0704  61716 120015 
0705  72576  88248 
0706  69383  98483 
0707  49685  67376 
0708  25450  83172 
0709  26311  85558 
0710  49987  79479 
0711  64285  57096 
0712  71732  45430 
0801  42133 106454 
0802  25122  64891 
0803  38036  98651 
0804  39035  80685 
0805  46337  77482 
0806  48270  69946 
0807  29441  68452 
0808  26499  73151 
0809  40565  66558 
0810  41648  88253 
0811  36644  67171 
0812  36870  58896 
0901  34001  51903 
0902  34389  83192 
0903  45836 104028 
0904  45902  93332 
0905  54647  69432 
0906  55213  69838 
0907  30933  80733 
0908  27870  79461 
0909  32578  95803 
0910  71822  77318 
0911  47567  73754 
0912  48623  54769 
1001  23381  84397 
1002  41216  81311 
1003  62919  94863 
1004  70809  98021 
1005  56163  84024 
1006  50739  75486 
1007  34031  79114 
1008  28201  75139 
1009  29406  82317 
1010  49453 103808 
1011  50476  66182 
1012  46466  51660 
1101  14742  74364 
1102  42036  77719 
1103  49964  93674 
1104  56251  86757 
1105  59019  97546 
1106  57552  76319 
1107  39383  72625 
1108  28288  76636 
1109  32591  86963 
1110  43396  66942 
1111  44606  70383 
1112  56997  49748 
1201  23939  76218 
1202  35101  91620 
1203  49971 101245 
1204  50348 104128 
1205  59133  84654 
1206  59856  76309 
1207  47637  86641 
1208  31977  84607 
1209  31544  93595 
1210  40478 106972 
1211  56642  73928 
1212  62639  72235 
1301  31003  96035 
1302  29314  93163 
1303  41199 104743 
1304  54081 124259 
1305  63129 112295 
1306  50440  97215 
1307  38157  96583 
1308  35549  97808 
1309  28747 100550 
1310  39593 110558 
1311  51457  86103 
1312  62293  65026 
1401  34181 104249 
1402  32956  89895 
1403  43690 100256 
1404  55426 107227 
1405  53593  96616 
1406  71443  91618 
1407  52848  90403 
1408  36541 101200 
1409  28908  75223 
1410  43594  87297 
1411  61754  70476 
1412  63149  74481 
1501  51664  84459 
1502  44848  86835 
1503  59731  97659 
1504  59187 101891 
1505  72200  90848 
1506  62340  92488 
1507  34225 102482 
1508  26999  80405 
1509  36789  89936 
1510  65039  92730 
1511  64427  86996 
1512  31730  80169 
1601  46217  85329 
1602  45684  85877 
1603  62808 114427 
1604  57246 103035 
1605  69582  98516 
1606  18979  98942 
1607  31061  86236 
1608  40531 100139 
1609  36581  91608 
1610  49338 102091 
1611  49415  91369 
1612   2993  96273 
1701  52551  92549 
1702  49199  91153 
1703  60168 125859 
1704  48208 113072 
1705  60427 116591 
1706  52989 100845 
1707  40656 110832 
1708  38858 134374 
1709  46110 110760 
1710  96014 132764 
1711 133280 105204 
1712  73311  95724 
1801  70629 122045 
1802  40651 160912 
1803  54009 182134 
1804  44788 178183 
1805  57434 149645 
1806  56288 144206 
1807  43462 159046 
1808  39606 185900 
1809  50077 216231 
1810  63210 231260 
1811  46561 176273 
1812  46058  74406 
1901  48972 235269 
1902  51969 158311 
1903  74170 202728 
1904  65456 158689 
1905  72450 164618 
1906  54642 161539 
1907  60345 166758 
1908  48214 200300 
1909 122061 223724 
1910 154315 202672 
1911  69673 191658 
1912  40122 156496 
2001  18314 189428 
2002  55691 197547 
2003  55847 268129 
2004  53455 203905 
2005  47768 187868 
2006  33593 164196 
2007  52101 148979 
2008  43310 174532 
2009 133238 167029 
2010 150535 188236 
2011 175014 169370 
2012  47208 143529 
2101  81858 208194 
2102  71888 208881 
2103 123963 239417 
2104  64696 232147 
2105 108368 220359 
2106  37145 186614 
2107  60107 177073 
2108  77594 205486 
2109 123026 231352 
2110 113159 257095 
2111 137452 182484 
2112  16663 164550 
2201 103714 230485 
2202  91909 222557 
2203 142039 259267 
2204 130864 242911 
2205 131684 225876 
2206 103759 220505 
2207  82002 228404 
2208  95985 220550 
2209 149859 249897 
2210 156461 247342 
2211 135280 214149 
2212  36650 164443 
2301 112356 271620 
2302 108201 263125 
2303 126764 304437 
2304 142126 276839 
2305 156484 268865 
2306 110981 255455 
2307 107566 238755 
2308 103538 279503 
2309 152665 264791 
2310 151683 296566 
2311 151754 266837 
2312  57984 198305 
2401 122616 288001 
2402 104054 306768 
2403 173304 337940 
2404 147288 307698 
2405 155400 296633 
2406 125019 269759 
2407 107849 250107 
2408 115332 251008 
2409 151341 277557 
2410 168090 302048 
2411 174393 246779 
2412  63437 216867 
2501 126257 293322 
2502 108756 289686 
2503 176192 319688 
2504 172522 283147 
2505 146344 288446 
2506 118118 245431 
2507 147337 254548 
2508 158142 290548 
2509 184798 312106 
2510 201636 337868 
2511 204836 298914 
2512  44593 224485 
2601  19183 257778 
2602  22067 228458 
2603 229064 291909 
2604 202423 253828 
2605 243749 220099 
2606 203157 233552 
2607 197475 247322 
