year,home_team,month,day,attend,day_of_week,opponent,temp,skies,day_night,cap,shirt,fireworks,bobblehead
2012,Baltimore Orioles,APR,6,46773,Friday,Minnesota Twins,59,Clear,Day,NO,NO,NO,NO
2012,Baltimore Orioles,APR,7,31532,Saturday,Minnesota Twins,63,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,APR,8,14738,Sunday,Minnesota Twins,68,Clear,Day,NO,NO,NO,NO
2012,Baltimore Orioles,APR,9,25478,Monday,New York Yankees,65,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,APR,10,24659,Tuesday,New York Yankees,62,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,APR,11,22919,Wednesday,New York Yankees,53,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,APR,24,11058,Tuesday,Toronto Blue Jays,60,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,APR,25,10415,Wednesday,Toronto Blue Jays,70,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,APR,26,13725,Thursday,Toronto Blue Jays,64,Cloudy,Night,NO,YES,NO,NO
2012,Baltimore Orioles,APR,27,18297,Friday,Oakland Athletics,60,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,APR,28,26926,Saturday,Oakland Athletics,56,Rainy,Night,YES,NO,NO,NO
2012,Baltimore Orioles,APR,29,31793,Sunday,Oakland Athletics,64,Clear,Day,NO,NO,NO,NO
2012,Baltimore Orioles,MAY,7,11938,Monday,Texas Rangers,67,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,MAY,8,11263,Tuesday,Texas Rangers,68,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,MAY,10,19250,Thursday,Texas Rangers,61,Clear,Night,NO,YES,NO,NO
2012,Baltimore Orioles,MAY,11,26669,Friday,Tampa Bay Rays,71,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,MAY,12,32862,Saturday,Tampa Bay Rays,77,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,MAY,13,29552,Sunday,Tampa Bay Rays,79,Cloudy,Day,YES,NO,NO,NO
2012,Baltimore Orioles,MAY,14,16492,Monday,New York Yankees,66,Rainy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,MAY,15,24055,Tuesday,New York Yankees,78,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,MAY,21,16392,Monday,Boston Red Sox,72,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,MAY,22,25171,Tuesday,Boston Red Sox,76,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,MAY,23,27806,Wednesday,Boston Red Sox,75,Cloudy,Day,NO,NO,NO,NO
2012,Baltimore Orioles,MAY,25,28954,Friday,Kansas City Royals,82,Clear,Night,NO,NO,YES,NO
2012,Baltimore Orioles,MAY,26,26714,Saturday,Kansas City Royals,87,Cloudy,Day,NO,NO,NO,NO
2012,Baltimore Orioles,MAY,27,33919,Sunday,Kansas City Royals,86,Cloudy,Day,NO,YES,NO,NO
2012,Baltimore Orioles,JUN,8,40459,Friday,Philadelphia Phillies,81,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,JUN,9,46611,Saturday,Philadelphia Phillies,86,Cloudy,Day,NO,NO,NO,NO
2012,Baltimore Orioles,JUN,10,45267,Sunday,Philadelphia Phillies,90,Clear,Day,NO,NO,NO,NO
2012,Baltimore Orioles,JUN,12,15618,Tuesday,Pittsburgh Pirates,72,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,JUN,13,23238,Wednesday,Pittsburgh Pirates,76,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,JUN,14,29995,Thursday,Pittsburgh Pirates,79,Cloudy,Night,YES,NO,NO,NO
2012,Baltimore Orioles,JUN,22,45891,Friday,Washington Nationals,76,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,JUN,23,46298,Saturday,Washington Nationals,87,Clear,Night,NO,YES,NO,NO
2012,Baltimore Orioles,JUN,24,41794,Sunday,Washington Nationals,88,Cloudy,Day,NO,NO,NO,NO
2012,Baltimore Orioles,JUN,26,24296,Tuesday,Los Angeles Angels,78,Clear,Night,YES,NO,NO,NO
2012,Baltimore Orioles,JUN,27,18055,Wednesday,Los Angeles Angels,85,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,JUN,28,17676,Thursday,Cleveland Indians,92,Clear,Night,NO,YES,NO,NO
2012,Baltimore Orioles,JUN,29,24779,Friday,Cleveland Indians,100,Clear,Night,NO,NO,YES,NO
2012,Baltimore Orioles,JUN,30,35335,Saturday,Cleveland Indians,91,Cloudy,Day,NO,NO,NO,NO
2012,Baltimore Orioles,JUL,1,16689,Sunday,Cleveland Indians,95,Cloudy,Day,NO,NO,NO,NO
2012,Baltimore Orioles,JUL,13,35566,Friday,Detroit Tigers,85,Cloudy,Night,NO,YES,NO,NO
2012,Baltimore Orioles,JUL,14,43215,Saturday,Detroit Tigers,86,Cloudy,Day,NO,NO,NO,NO
2012,Baltimore Orioles,JUL,15,30439,Sunday,Detroit Tigers,87,Cloudy,Day,YES,NO,NO,NO
2012,Baltimore Orioles,JUL,24,17592,Tuesday,Tampa Bay Rays,86,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,JUL,25,19582,Wednesday,Tampa Bay Rays,85,Clear,Night,YES,NO,NO,NO
2012,Baltimore Orioles,JUL,26,21301,Thursday,Tampa Bay Rays,84,Cloudy,Day,NO,YES,NO,NO
2012,Baltimore Orioles,JUL,27,29278,Friday,Oakland Athletics,88,Cloudy,Night,YES,NO,YES,NO
2012,Baltimore Orioles,JUL,28,21143,Saturday,Oakland Athletics,88,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,JUL,29,19698,Sunday,Oakland Athletics,81,Cloudy,Day,YES,NO,NO,NO
2012,Baltimore Orioles,AUG,6,21184,Monday,Seattle Mariners,88,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,AUG,7,15433,Tuesday,Seattle Mariners,85,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,AUG,8,17312,Wednesday,Seattle Mariners,85,Cloudy,Night,YES,NO,NO,NO
2012,Baltimore Orioles,AUG,9,21226,Thursday,Kansas City Royals,84,Cloudy,Night,NO,YES,NO,NO
2012,Baltimore Orioles,AUG,10,17277,Friday,Kansas City Royals,86,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,AUG,11,40456,Saturday,Kansas City Royals,73,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,AUG,12,20935,Sunday,Kansas City Royals,81,Clear,Day,YES,NO,NO,NO
2012,Baltimore Orioles,AUG,14,26204,Tuesday,Boston Red Sox,84,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,AUG,15,22269,Wednesday,Boston Red Sox,80,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,AUG,16,25483,Thursday,Boston Red Sox,84,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,AUG,24,25754,Friday,Toronto Blue Jays,84,Cloudy,Night,NO,NO,YES,NO
2012,Baltimore Orioles,AUG,25,25082,Saturday,Toronto Blue Jays,77,Cloudy,Night,YES,NO,NO,NO
2012,Baltimore Orioles,AUG,27,10955,Monday,Chicago White Sox,87,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,AUG,28,12841,Tuesday,Chicago White Sox,86,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,AUG,29,13098,Wednesday,Chicago White Sox,82,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,AUG,30,10141,Thursday,Chicago White Sox,81,Clear,Day,NO,NO,NO,NO
2012,Baltimore Orioles,SEP,6,46298,Thursday,New York Yankees,80,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,SEP,7,40861,Friday,New York Yankees,83,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,SEP,8,46067,Saturday,New York Yankees,67,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,SEP,9,40346,Sunday,New York Yankees,74,Cloudy,Day,NO,NO,NO,NO
2012,Baltimore Orioles,SEP,11,23828,Tuesday,Tampa Bay Rays,75,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,SEP,12,26076,Wednesday,Tampa Bay Rays,77,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,SEP,13,25130,Thursday,Tampa Bay Rays,76,Clear,Day,NO,YES,NO,NO
2012,Baltimore Orioles,SEP,24,31015,Monday,Toronto Blue Jays,65,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,SEP,25,30205,Tuesday,Toronto Blue Jays,72,Clear,Night,NO,NO,NO,NO
2012,Baltimore Orioles,SEP,26,26513,Wednesday,Toronto Blue Jays,81,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,SEP,28,33518,Friday,Boston Red Sox,72,Cloudy,Night,NO,NO,YES,NO
2012,Baltimore Orioles,SEP,29,46311,Saturday,Boston Red Sox,65,Cloudy,Night,NO,NO,NO,NO
2012,Baltimore Orioles,SEP,30,41257,Sunday,Boston Red Sox,66,Cloudy,Day,NO,NO,NO,YES
2012,Boston Red Sox,APR,13,37032,Friday,Tampa Bay Rays,58,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,APR,14,38024,Saturday,Tampa Bay Rays,72,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,APR,15,38024,Sunday,Tampa Bay Rays,72,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,APR,16,38108,Monday,Tampa Bay Rays,79,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,APR,17,38229,Tuesday,Texas Rangers,78,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,APR,18,37967,Wednesday,Texas Rangers,51,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,APR,20,36770,Friday,New York Yankees,79,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,APR,21,37839,Saturday,New York Yankees,78,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,APR,30,37359,Monday,Oakland Athletics,52,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,MAY,1,37225,Tuesday,Oakland Athletics,46,Rainy,Night,NO,NO,NO,NO
2012,Boston Red Sox,MAY,2,37434,Wednesday,Oakland Athletics,47,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,MAY,4,37223,Friday,Baltimore Orioles,53,Rainy,Night,NO,NO,NO,NO
2012,Boston Red Sox,MAY,5,37581,Saturday,Baltimore Orioles,56,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,MAY,6,37394,Sunday,Baltimore Orioles,54,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,MAY,10,37348,Thursday,Cleveland Indians,60,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,MAY,11,37438,Friday,Cleveland Indians,64,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,MAY,12,38048,Saturday,Cleveland Indians,77,Clear,Night,NO,NO,NO,NO
2012,Boston Red Sox,MAY,13,37611,Sunday,Cleveland Indians,74,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,MAY,14,37334,Monday,Seattle Mariners,57,Cloudy,Night,NO,YES,NO,NO
2012,Boston Red Sox,MAY,15,37292,Tuesday,Seattle Mariners,70,Cloudy,Day,NO,YES,NO,NO
2012,Boston Red Sox,MAY,25,37594,Friday,Tampa Bay Rays,73,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,MAY,26,38099,Saturday,Tampa Bay Rays,83,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,MAY,27,37844,Sunday,Tampa Bay Rays,70,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,MAY,28,37921,Monday,Detroit Tigers,69,Clear,Day,NO,NO,NO,NO
2012,Boston Red Sox,MAY,29,37216,Tuesday,Detroit Tigers,68,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,MAY,30,37195,Wednesday,Detroit Tigers,75,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,MAY,31,37629,Thursday,Detroit Tigers,76,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUN,5,37181,Tuesday,Baltimore Orioles,55,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUN,6,37243,Wednesday,Baltimore Orioles,58,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUN,7,37307,Thursday,Baltimore Orioles,59,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUN,8,37309,Friday,Washington Nationals,67,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUN,9,37534,Saturday,Washington Nationals,78,Cloudy,Day,NO,NO,NO,NO
2012,Boston Red Sox,JUN,10,37467,Sunday,Washington Nationals,76,Clear,Day,NO,NO,NO,NO
2012,Boston Red Sox,JUN,19,37701,Tuesday,Miami Marlins,74,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUN,20,37362,Wednesday,Miami Marlins,96,Cloudy,Night,NO,NO,NO,NO
2012,Boston Red Sox,JUN,21,37261,Thursday,Miami Marlins,92,Clear,Night,NO,NO,NO,NO
