month,day,attend,day_of_week,opponent,temp,skies,day_night,cap,shirt,fireworks,bobblehead
APR,10,56000,Tuesday,Pirates,67,Clear ,Day,NO,NO,NO,NO
APR,11,29729,Wednesday,Pirates,58,Cloudy,Night,NO,NO,NO,NO
APR,12,28328,Thursday,Pirates,57,Cloudy,Night,NO,NO,NO,NO
APR,13,31601,Friday,Padres,54,Cloudy,Night,NO,NO,YES,NO
APR,14,46549,Saturday,Padres,57,Cloudy,Night,NO,NO,NO,NO
APR,15,38359,Sunday,Padres,65,Clear ,Day,NO,NO,NO,NO
APR,23,26376,Monday,Braves,60,Cloudy,Night,NO,NO,NO,NO
APR,24,44014,Tuesday,Braves,63,Cloudy,Night,NO,NO,NO,NO
APR,25,26345,Wednesday,Braves,64,Cloudy,Night,NO,NO,NO,NO
APR,27,44807,Friday,Nationals,66,Clear ,Night,NO,NO,YES,NO
APR,28,54242,Saturday,Nationals,71,Clear ,Night,NO,NO,NO,YES
APR,29,48753,Sunday,Nationals,74,Clear ,Day,NO,YES,NO,NO
MAY,7,43713,Monday,Giants,67,Clear ,Night,NO,NO,NO,NO
MAY,8,32799,Tuesday,Giants,75,Clear ,Night,NO,NO,NO,NO
MAY,9,33993,Wednesday,Giants,71,Clear ,Night,NO,NO,NO,NO
MAY,11,35591,Friday,Rockies,65,Clear ,Night,NO,NO,YES,NO
MAY,12,33735,Saturday,Rockies,65,Clear ,Night,NO,NO,NO,NO
MAY,13,49124,Sunday,Rockies,70,Clear ,Day,NO,NO,NO,NO
MAY,14,24312,Monday,Snakes,67,Clear ,Night,NO,NO,NO,NO
MAY,15,47077,Tuesday,Snakes,70,Clear ,Night,NO,NO,NO,YES
MAY,18,40906,Friday,Cardinals,64,Clear ,Night,NO,NO,YES,NO
MAY,19,39383,Saturday,Cardinals,67,Clear ,Night,NO,NO,NO,NO
MAY,20,44005,Sunday,Cardinals,77,Clear ,Night,NO,NO,NO,NO
MAY,25,36283,Friday,Astros,59,Cloudy,Night,NO,NO,YES,NO
MAY,26,36561,Saturday,Astros,61,Cloudy,Night,NO,NO,NO,NO
MAY,27,33306,Sunday,Astros,70,Clear ,Day,NO,NO,NO,NO
MAY,28,38016,Monday,Brewers,73,Clear ,Night,NO,NO,NO,NO
MAY,29,51137,Tuesday,Brewers,74,Clear ,Night,NO,NO,NO,YES
MAY,30,25509,Wednesday,Brewers,69,Clear ,Night,NO,NO,NO,NO
MAY,31,26773,Thursday,Brewers,70,Clear ,Night,NO,NO,NO,NO
JUN,11,50559,Monday,Angels,68,Clear ,Night,NO,YES,NO,NO
JUN,12,55279,Tuesday,Angels,66,Cloudy,Night,NO,NO,NO,YES
JUN,13,43494,Wednesday,Angels,67,Clear ,Night,NO,NO,NO,NO
JUN,15,40432,Friday,White Sox,67,Clear ,Night,NO,NO,YES,NO
JUN,16,45210,Saturday,White Sox,68,Clear ,Night,NO,NO,NO,NO
JUN,17,53504,Sunday,White Sox,74,Clear ,Day,NO,NO,NO,NO
JUN,28,49006,Thursday,Mets,75,Clear ,Night,NO,NO,NO,YES
JUN,29,49763,Friday,Mets,72,Clear ,Night,NO,NO,YES,NO
JUN,30,44217,Saturday,Mets,78,Clear ,Day,NO,NO,NO,NO
JUL,1,55359,Sunday,Mets,75,Clear ,Night,NO,NO,NO,YES
JUL,2,34493,Monday,Reds,70,Clear ,Night,NO,NO,NO,NO
JUL,3,33884,Tuesday,Reds,70,Cloudy,Night,YES,NO,NO,NO
JUL,4,53570,Wednesday,Reds,70,Clear ,Night,NO,NO,YES,NO
JUL,13,43873,Friday,Padres,76,Cloudy,Night,NO,NO,YES,NO
JUL,14,54014,Saturday,Padres,75,Clear ,Night,NO,NO,NO,YES
JUL,15,39715,Sunday,Padres,77,Clear ,Day,NO,NO,NO,NO
JUL,16,32238,Monday,Phillies,67,Clear ,Night,NO,NO,NO,NO
JUL,17,53498,Tuesday,Phillies,70,Clear ,Night,NO,NO,NO,NO
JUL,18,39955,Wednesday,Phillies,80,Cloudy,Day,NO,NO,NO,NO
JUL,30,33180,Monday,Snakes,73,Clear ,Night,NO,NO,NO,NO
